,ds,Positive,Negative,Neutral
1134,2016-11-18,,,
1135,2016-11-21,,,
1136,2016-11-22,,,
1137,2016-11-23,,,
1138,2016-11-25,,,
1139,2016-11-28,,,
1140,2016-11-29,,,
1141,2016-11-30,,,
1142,2016-12-01,,,
1143,2016-12-02,,,
1144,2016-12-05,,,
1145,2016-12-06,,,
1146,2016-12-07,,,
1147,2016-12-08,,,
1148,2016-12-09,,,
1149,2016-12-12,,,
1150,2016-12-13,,,
1151,2016-12-14,,,
1152,2016-12-15,,,
1153,2016-12-16,,,
1154,2016-12-19,,,
1155,2016-12-20,,,
1156,2016-12-21,,,
1157,2016-12-22,,,
1158,2016-12-23,,,
1159,2016-12-27,,,
1160,2016-12-28,,,
1161,2016-12-29,,,
1162,2016-12-30,,,
1163,2017-01-03,,,
1164,2017-01-04,,,
1165,2017-01-05,,,
1166,2017-01-06,,,
1167,2017-01-09,,,
1168,2017-01-10,,,
1169,2017-01-11,,,
1170,2017-01-12,,,
1171,2017-01-13,,,
1172,2017-01-17,,,
1173,2017-01-18,,,
1174,2017-01-19,,,
1175,2017-01-20,,,
1176,2017-01-23,,,
1177,2017-01-24,,,
1178,2017-01-25,,,
1179,2017-01-26,,,
1180,2017-01-27,,,
1181,2017-01-30,,,
1182,2017-01-31,,,
1183,2017-02-01,,,
1184,2017-02-02,,,
1185,2017-02-03,,,
1186,2017-02-06,,,
1187,2017-02-07,,,
1188,2017-02-08,,,
1189,2017-02-09,,,
1190,2017-02-10,,,
1191,2017-02-13,,,
1192,2017-02-14,,,
1193,2017-02-15,,,
1194,2017-02-16,,,
1195,2017-02-17,,,
1196,2017-02-21,,,
1197,2017-02-22,,,
1198,2017-02-23,,,
1199,2017-02-24,,,
1200,2017-02-27,,,
1201,2017-02-28,,,
1202,2017-03-01,,,
1203,2017-03-02,,,
1204,2017-03-03,,,
1205,2017-03-06,,,
1206,2017-03-07,,,
1207,2017-03-08,,,
1208,2017-03-09,,,
1209,2017-03-10,,,
1210,2017-03-13,,,
1211,2017-03-14,,,
1212,2017-03-15,,,
1213,2017-03-16,,,
1214,2017-03-17,,,
1215,2017-03-20,,,
1216,2017-03-21,,,
1217,2017-03-22,,,
1218,2017-03-23,,,
1219,2017-03-24,,,
1220,2017-03-27,,,
1221,2017-03-28,,,
1222,2017-03-29,,,
1223,2017-03-30,,,
1224,2017-03-31,,,
1225,2017-04-03,,,
1226,2017-04-04,,,
1227,2017-04-05,,,
1228,2017-04-06,,,
1229,2017-04-07,,,
1230,2017-04-10,,,
1231,2017-04-11,,,
1232,2017-04-12,,,
1233,2017-04-13,,,
1234,2017-04-17,,,
1235,2017-04-18,,,
1236,2017-04-19,,,
1237,2017-04-20,,,
1238,2017-04-21,,,
1239,2017-04-24,,,
1240,2017-04-25,,,
1241,2017-04-26,,,
1242,2017-04-27,,,
1243,2017-04-28,,,
1244,2017-05-01,,,
1245,2017-05-02,,,
1246,2017-05-03,,,
1247,2017-05-04,,,
1248,2017-05-05,,,
1249,2017-05-08,,,
1250,2017-05-09,,,
1251,2017-05-10,,,
1252,2017-05-11,,,
1253,2017-05-12,,,
1254,2017-05-15,,,
1255,2017-05-16,,,
1256,2017-05-17,,,
1257,2017-05-18,,,
1258,2017-05-19,,,
1259,2017-05-22,,,
1260,2017-05-23,,,
1261,2017-05-24,,,
1262,2017-05-25,,,
1263,2017-05-26,,,
1264,2017-05-30,,,
1265,2017-05-31,,,
1266,2017-06-01,,,
1267,2017-06-02,,,
1268,2017-06-05,,,
1269,2017-06-06,,,
1270,2017-06-07,,,
1271,2017-06-08,,,
1272,2017-06-09,,,
1273,2017-06-12,,,
1274,2017-06-13,,,
1275,2017-06-14,,,
1276,2017-06-15,,,
1277,2017-06-16,,,
1278,2017-06-19,,,
1279,2017-06-20,,,
1280,2017-06-21,,,
1281,2017-06-22,,,
1282,2017-06-23,,,
1283,2017-06-26,,,
1284,2017-06-27,,,
1285,2017-06-28,,,
1286,2017-06-29,,,
1287,2017-06-30,,,
1288,2017-07-03,,,
1289,2017-07-05,,,
1290,2017-07-06,,,
1291,2017-07-07,,,
1292,2017-07-10,,,
1293,2017-07-11,,,
1294,2017-07-12,,,
1295,2017-07-13,,,
1296,2017-07-14,,,
1297,2017-07-17,,,
1298,2017-07-18,,,
1299,2017-07-19,,,
1300,2017-07-20,,,
1301,2017-07-21,,,
1302,2017-07-24,,,
1303,2017-07-25,,,
1304,2017-07-26,,,
1305,2017-07-27,,,
1306,2017-07-28,,,
1307,2017-07-31,,,
1308,2017-08-01,,,
1309,2017-08-02,,,
1310,2017-08-03,,,
1311,2017-08-04,,,
1312,2017-08-07,,,
1313,2017-08-08,,,
1314,2017-08-09,,,
1315,2017-08-10,,,
1316,2017-08-11,,,
1317,2017-08-14,,,
1318,2017-08-15,,,
1319,2017-08-16,,,
1320,2017-08-17,,,
1321,2017-08-18,,,
1322,2017-08-21,,,
1323,2017-08-22,,,
1324,2017-08-23,,,
1325,2017-08-24,,,
1326,2017-08-25,,,
1327,2017-08-28,,,
1328,2017-08-29,,,
1329,2017-08-30,,,
1330,2017-08-31,,,
1331,2017-09-01,,,
1332,2017-09-05,,,
1333,2017-09-06,,,
1334,2017-09-07,,,
1335,2017-09-08,,,
1336,2017-09-11,,,
1337,2017-09-12,,,
1338,2017-09-13,,,
1339,2017-09-14,,,
1340,2017-09-15,,,
1341,2017-09-18,,,
1342,2017-09-19,,,
1343,2017-09-20,,,
1344,2017-09-21,,,
1345,2017-09-22,,,
1346,2017-09-25,,,
1347,2017-09-26,,,
1348,2017-09-27,,,
1349,2017-09-28,,,
1350,2017-09-29,,,
1351,2017-10-02,,,
1352,2017-10-03,,,
1353,2017-10-04,,,
1354,2017-10-05,,,
1355,2017-10-06,,,
1356,2017-10-09,,,
1357,2017-10-10,,,
1358,2017-10-11,,,
1359,2017-10-12,,,
1360,2017-10-13,,,
1361,2017-10-16,,,
1362,2017-10-17,,,
1363,2017-10-18,,,
1364,2017-10-19,,,
1365,2017-10-20,,,
1366,2017-10-23,,,
1367,2017-10-24,,,
1368,2017-10-25,,,
1369,2017-10-26,,,
1370,2017-10-27,,,
1371,2017-10-30,,,
1372,2017-10-31,,,
1373,2017-11-01,,,
1374,2017-11-02,,,
1375,2017-11-03,,,
1376,2017-11-06,,,
1377,2017-11-07,,,
1378,2017-11-08,,,
1379,2017-11-09,,,
1380,2017-11-10,,,
1381,2017-11-13,,,
1382,2017-11-14,,,
1383,2017-11-15,,,
1384,2017-11-16,,,
1385,2017-11-17,,,
1386,2017-11-20,,,
1387,2017-11-21,,,
1388,2017-11-22,,,
1389,2017-11-24,,,
1390,2017-11-27,,,
1391,2017-11-28,,,
1392,2017-11-29,,,
1393,2017-11-30,,,
1394,2017-12-01,,,
1395,2017-12-04,,,
1396,2017-12-05,,,
1397,2017-12-06,,,
1398,2017-12-07,,,
1399,2017-12-08,,,
1400,2017-12-11,,,
1401,2017-12-12,,,
1402,2017-12-13,,,
1403,2017-12-14,,,
1404,2017-12-15,,,
1405,2017-12-18,,,
1406,2017-12-19,,,
1407,2017-12-20,,,
1408,2017-12-21,,,
1409,2017-12-22,,,
1410,2017-12-26,,,
1411,2017-12-27,,,
1412,2017-12-28,,,
1413,2017-12-29,,,
1414,2018-01-02,,,
1415,2018-01-03,,,
1416,2018-01-04,,,
1417,2018-01-05,,,
1418,2018-01-08,,,
1419,2018-01-09,,,
1420,2018-01-10,,,
1421,2018-01-11,,,
1422,2018-01-12,,,
1423,2018-01-16,,,
1424,2018-01-17,,,
1425,2018-01-18,,,
1426,2018-01-19,,,
1427,2018-01-22,,,
1428,2018-01-23,,,
1429,2018-01-24,,,
1430,2018-01-25,,,
1431,2018-01-26,,,
1432,2018-01-29,,,
1433,2018-01-30,,,
1434,2018-01-31,,,
1435,2018-02-01,,,
1436,2018-02-02,,,
1437,2018-02-05,,,
1438,2018-02-06,,,
1439,2018-02-07,,,
1440,2018-02-08,,,
1441,2018-02-09,,,
1442,2018-02-12,,,
1443,2018-02-13,,,
1444,2018-02-14,,,
1445,2018-02-15,,,
1446,2018-02-16,,,
1447,2018-02-20,,,
1448,2018-02-21,,,
1449,2018-02-22,,,
1450,2018-02-23,,,
1451,2018-02-26,,,
1452,2018-02-27,,,
1453,2018-02-28,,,
1454,2018-03-01,,,
1455,2018-03-02,,,
1456,2018-03-05,,,
1457,2018-03-06,,,
1458,2018-03-07,,,
1459,2018-03-08,,,
1460,2018-03-09,,,
1461,2018-03-12,,,
1462,2018-03-13,,,
1463,2018-03-14,,,
1464,2018-03-15,,,
1465,2018-03-16,,,
1466,2018-03-19,,,
1467,2018-03-20,,,
1468,2018-03-21,,,
1469,2018-03-22,,,
1470,2018-03-23,,,
1471,2018-03-26,,,
1472,2018-03-27,,,
1473,2018-03-28,,,
1474,2018-03-29,,,
1475,2018-04-02,,,
1476,2018-04-03,,,
1477,2018-04-04,,,
1478,2018-04-05,,,
1479,2018-04-06,,,
1480,2018-04-09,,,
1481,2018-04-10,,,
1482,2018-04-11,,,
1483,2018-04-12,,,
1484,2018-04-13,,,
1485,2018-04-16,,,
1486,2018-04-17,,,
1487,2018-04-18,,,
1488,2018-04-19,,,
1489,2018-04-20,,,
1490,2018-04-23,,,
1491,2018-04-24,,,
1492,2018-04-25,,,
1493,2018-04-26,,,
1494,2018-04-27,,,
1495,2018-04-30,,,
1496,2018-05-01,,,
1497,2018-05-02,,,
1498,2018-05-03,,,
1499,2018-05-04,,,
1500,2018-05-07,,,
1501,2018-05-08,,,
1502,2018-05-09,,,
1503,2018-05-10,,,
1504,2018-05-11,,,
1505,2018-05-14,,,
1506,2018-05-15,,,
1507,2018-05-16,,,
1508,2018-05-17,,,
1509,2018-05-18,,,
1510,2018-05-21,,,
1511,2018-05-22,,,
1512,2018-05-23,,,
1513,2018-05-24,,,
1514,2018-05-25,,,
1515,2018-05-29,,,
1516,2018-05-30,,,
1517,2018-05-31,,,
1518,2018-06-01,,,
1519,2018-06-04,,,
1520,2018-06-05,,,
1521,2018-06-06,,,
1522,2018-06-07,,,
1523,2018-06-08,,,
1524,2018-06-11,,,
1525,2018-06-12,,,
1526,2018-06-13,,,
1527,2018-06-14,,,
1528,2018-06-15,,,
1529,2018-06-18,,,
1530,2018-06-19,,,
1531,2018-06-20,,,
1532,2018-06-21,,,
1533,2018-06-22,,,
1534,2018-06-25,,,
1535,2018-06-26,,,
1536,2018-06-27,,,
1537,2018-06-28,,,
1538,2018-06-29,,,
1539,2018-07-02,,,
1540,2018-07-03,,,
1541,2018-07-05,,,
1542,2018-07-06,,,
1543,2018-07-09,,,
1544,2018-07-10,,,
1545,2018-07-11,,,
1546,2018-07-12,,,
1547,2018-07-13,,,
1548,2018-07-16,,,
1549,2018-07-17,,,
1550,2018-07-18,,,
1551,2018-07-19,,,
1552,2018-07-20,,,
1553,2018-07-23,,,
1554,2018-07-24,,,
1555,2018-07-25,,,
1556,2018-07-26,,,
1557,2018-07-27,,,
1558,2018-07-30,,,
1559,2018-07-31,,,
1560,2018-08-01,,,
1561,2018-08-02,,,
1562,2018-08-03,,,
1563,2018-08-06,,,
1564,2018-08-07,,,
1565,2018-08-08,,,
1566,2018-08-09,,,
1567,2018-08-10,,,
1568,2018-08-13,,,
1569,2018-08-14,,,
1570,2018-08-15,,,
1571,2018-08-16,,,
1572,2018-08-17,,,
1573,2018-08-20,,,
1574,2018-08-21,,,
1575,2018-08-22,,,
1576,2018-08-23,,,
1577,2018-08-24,,,
1578,2018-08-27,,,
1579,2018-08-28,,,
1580,2018-08-29,,,
1581,2018-08-30,,,
1582,2018-08-31,,,
1583,2018-09-04,,,
1584,2018-09-05,,,
1585,2018-09-06,,,
1586,2018-09-07,,,
1587,2018-09-10,,,
1588,2018-09-11,,,
1589,2018-09-12,,,
1590,2018-09-13,,,
1591,2018-09-14,,,
1592,2018-09-17,,,
1593,2018-09-18,,,
1594,2018-09-19,,,
1595,2018-09-20,,,
1596,2018-09-21,,,
1597,2018-09-24,,,
1598,2018-09-25,,,
1599,2018-09-26,,,
1600,2018-09-27,,,
1601,2018-09-28,,,
1602,2018-10-01,,,
1603,2018-10-02,,,
1604,2018-10-03,,,
1605,2018-10-04,,,
1606,2018-10-05,,,
1607,2018-10-08,,,
1608,2018-10-09,,,
1609,2018-10-10,,,
1610,2018-10-11,,,
1611,2018-10-12,,,
1612,2018-10-15,,,
1613,2018-10-16,,,
1614,2018-10-17,,,
1615,2018-10-18,,,
1616,2018-10-19,,,
1617,2018-10-22,,,
1618,2018-10-23,,,
1619,2018-10-24,,,
1620,2018-10-25,,,
1621,2018-10-26,,,
1622,2018-10-29,,,
1623,2018-10-30,,,
1624,2018-10-31,,,
1625,2018-11-01,,,
1626,2018-11-02,,,
1627,2018-11-05,,,
1628,2018-11-06,,,
1629,2018-11-07,,,
1630,2018-11-08,,,
1631,2018-11-09,,,
1632,2018-11-12,,,
1633,2018-11-13,,,
1634,2018-11-14,,,
1635,2018-11-15,,,
1636,2018-11-16,,,
1637,2018-11-19,,,
1638,2018-11-20,,,
1639,2018-11-21,,,
1640,2018-11-23,,,
1641,2018-11-26,,,
1642,2018-11-27,,,
1643,2018-11-28,,,
1644,2018-11-29,,,
1645,2018-11-30,,,
1646,2018-12-03,,,
1647,2018-12-04,,,
1648,2018-12-06,,,
1649,2018-12-07,,,
1650,2018-12-10,,,
1651,2018-12-11,,,
1652,2018-12-12,,,
1653,2018-12-13,,,
1654,2018-12-14,,,
1655,2018-12-17,,,
1656,2018-12-18,,,
1657,2018-12-19,,,
1658,2018-12-20,,,
1659,2018-12-21,,,
1660,2018-12-24,,,
1661,2018-12-26,,,
1662,2018-12-27,,,
1663,2018-12-28,,,
1664,2018-12-31,,,
1665,2019-01-02,,,
1666,2019-01-03,,,
1667,2019-01-04,,,
1668,2019-01-07,,,
1669,2019-01-08,,,
1670,2019-01-09,,,
1671,2019-01-10,,,
1672,2019-01-11,,,
1673,2019-01-14,,,
1674,2019-01-15,,,
1675,2019-01-16,,,
1676,2019-01-17,,,
1677,2019-01-18,,,
1678,2019-01-22,,,
1679,2019-01-23,,,
1680,2019-01-24,,,
1681,2019-01-25,,,
1682,2019-01-28,,,
1683,2019-01-29,,,
1684,2019-01-30,,,
1685,2019-01-31,,,
1686,2019-02-01,,,
1687,2019-02-04,,,
1688,2019-02-05,,,
1689,2019-02-06,,,
1690,2019-02-07,,,
1691,2019-02-08,,,
1692,2019-02-11,,,
1693,2019-02-12,,,
1694,2019-02-13,,,
1695,2019-02-14,,,
1696,2019-02-15,,,
1697,2019-02-19,,,
1698,2019-02-20,,,
1699,2019-02-21,,,
1700,2019-02-22,,,
1701,2019-02-25,,,
1702,2019-02-26,,,
1703,2019-02-27,,,
1704,2019-02-28,,,
1705,2019-03-01,,,
1706,2019-03-04,,,
1707,2019-03-05,,,
1708,2019-03-06,,,
1709,2019-03-07,,,
1710,2019-03-08,,,
1711,2019-03-11,,,
1712,2019-03-12,,,
1713,2019-03-13,,,
1714,2019-03-14,,,
1715,2019-03-15,,,
1716,2019-03-18,,,
1717,2019-03-19,,,
1718,2019-03-20,,,
1719,2019-03-21,,,
1720,2019-03-22,,,
1721,2019-03-25,,,
1722,2019-03-26,,,
1723,2019-03-27,,,
1724,2019-03-28,,,
1725,2019-03-29,,,
1726,2019-04-01,,,
1727,2019-04-02,,,
1728,2019-04-03,,,
1729,2019-04-04,,,
1730,2019-04-05,,,
1731,2019-04-08,,,
1732,2019-04-09,,,
1733,2019-04-10,,,
1734,2019-04-11,,,
1735,2019-04-12,,,
1736,2019-04-15,,,
1737,2019-04-16,,,
1738,2019-04-17,,,
1739,2019-04-18,,,
1740,2019-04-22,,,
1741,2019-04-23,,,
1742,2019-04-24,,,
1743,2019-04-25,,,
1744,2019-04-26,,,
1745,2019-04-29,,,
1746,2019-04-30,,,
1747,2019-05-01,,,
1748,2019-05-02,,,
1749,2019-05-03,,,
1750,2019-05-06,,,
1751,2019-05-07,,,
1752,2019-05-08,,,
1753,2019-05-09,,,
1754,2019-05-10,,,
1755,2019-05-13,,,
1756,2019-05-14,,,
1757,2019-05-15,,,
1758,2019-05-16,,,
1759,2019-05-17,,,
1760,2019-05-20,,,
1761,2019-05-21,,,
1762,2019-05-22,,,
1763,2019-05-23,,,
1764,2019-05-24,,,
1765,2019-05-28,,,
1766,2019-05-29,,,
1767,2019-05-30,,,
1768,2019-05-31,,,
1769,2019-06-03,,,
1770,2019-06-04,,,
1771,2019-06-05,,,
1772,2019-06-06,,,
1773,2019-06-07,,,
1774,2019-06-10,,,
1775,2019-06-11,,,
1776,2019-06-12,,,
1777,2019-06-13,,,
1778,2019-06-14,,,
1779,2019-06-17,,,
1780,2019-06-18,,,
1781,2019-06-19,,,
1782,2019-06-20,,,
1783,2019-06-21,,,
1784,2019-06-24,,,
1785,2019-06-25,,,
1786,2019-06-26,,,
1787,2019-06-27,,,
1788,2019-06-28,,,
1789,2019-07-01,,,
1790,2019-07-02,,,
1791,2019-07-03,,,
1792,2019-07-05,,,
1793,2019-07-08,,,
1794,2019-07-09,,,
1795,2019-07-10,,,
1796,2019-07-11,,,
1797,2019-07-12,,,
1798,2019-07-15,,,
1799,2019-07-16,,,
1800,2019-07-17,,,
1801,2019-07-18,,,
1802,2019-07-19,,,
1803,2019-07-22,,,
1804,2019-07-23,,,
1805,2019-07-24,,,
1806,2019-07-25,,,
1807,2019-07-26,,,
1808,2019-07-29,,,
1809,2019-07-30,,,
1810,2019-07-31,,,
1811,2019-08-01,,,
1812,2019-08-02,,,
1813,2019-08-05,,,
1814,2019-08-06,,,
1815,2019-08-07,,,
1816,2019-08-08,,,
1817,2019-08-09,,,
1818,2019-08-12,,,
1819,2019-08-13,,,
1820,2019-08-14,,,
1821,2019-08-15,,,
1822,2019-08-16,,,
1823,2019-08-19,,,
1824,2019-08-20,,,
1825,2019-08-21,,,
1826,2019-08-22,,,
1827,2019-08-23,,,
1828,2019-08-26,,,
1829,2019-08-27,,,
1830,2019-08-28,,,
1831,2019-08-29,,,
1832,2019-08-30,,,
1833,2019-09-03,,,
1834,2019-09-04,,,
1835,2019-09-05,,,
1836,2019-09-06,,,
1837,2019-09-09,,,
1838,2019-09-10,,,
1839,2019-09-11,,,
1840,2019-09-12,,,
1841,2019-09-13,,,
1842,2019-09-16,,,
1843,2019-09-17,,,
1844,2019-09-18,,,
1845,2019-09-19,,,
1846,2019-09-20,,,
1847,2019-09-23,,,
1848,2019-09-24,,,
1849,2019-09-25,,,
1850,2019-09-26,,,
1851,2019-09-27,,,
1852,2019-09-30,,,
1853,2019-10-01,,,
1854,2019-10-02,,,
1855,2019-10-03,,,
1856,2019-10-04,,,
1857,2019-10-07,,,
1858,2019-10-08,,,
1859,2019-10-09,,,
1860,2019-10-10,,,
1861,2019-10-11,,,
1862,2019-10-14,,,
1863,2019-10-15,,,
1864,2019-10-16,,,
1865,2019-10-17,,,
1866,2019-10-18,,,
1867,2019-10-21,,,
1868,2019-10-22,,,
1869,2019-10-23,,,
1870,2019-10-24,,,
1871,2019-10-25,,,
1872,2019-10-28,,,
1873,2019-10-29,,,
1874,2019-10-30,,,
1875,2019-10-31,,,
1876,2019-11-01,,,
1877,2019-11-04,,,
1878,2019-11-05,,,
1879,2019-11-06,,,
1880,2019-11-07,,,
1881,2019-11-08,,,
1882,2019-11-11,,,
1883,2019-11-12,,,
1884,2019-11-13,,,
1885,2019-11-14,,,
1886,2019-11-15,,,
1887,2019-11-18,,,
1888,2019-11-19,,,
1889,2019-11-20,,,
1890,2019-11-21,,,
1891,2019-11-22,,,
1892,2019-11-25,,,
1893,2019-11-26,,,
1894,2019-11-27,,,
1895,2019-11-29,,,
1896,2019-12-02,,,
1897,2019-12-03,,,
1898,2019-12-04,,,
1899,2019-12-05,,,
1900,2019-12-06,,,
1901,2019-12-09,,,
1902,2019-12-10,,,
1903,2019-12-11,,,
1904,2019-12-12,,,
1905,2019-12-13,,,
1906,2019-12-16,,,
1907,2019-12-17,,,
1908,2019-12-18,,,
1909,2019-12-19,,,
1910,2019-12-20,,,
1911,2019-12-23,,,
1912,2019-12-24,,,
1913,2019-12-26,,,
1914,2019-12-27,,,
1915,2019-12-30,,,
1916,2019-12-31,,,
1917,2020-01-02,,,
1918,2020-01-03,,,
1919,2020-01-06,,,
1920,2020-01-07,,,
1921,2020-01-08,,,
1922,2020-01-09,,,
1923,2020-01-10,,,
1924,2020-01-13,,,
1925,2020-01-14,,,
1926,2020-01-15,,,
1927,2020-01-16,,,
1928,2020-01-17,,,
1929,2020-01-21,,,
1930,2020-01-22,,,
1931,2020-01-23,,,
1932,2020-01-24,,,
1933,2020-01-27,,,
1934,2020-01-28,,,
1935,2020-01-29,,,
1936,2020-01-30,,,
1937,2020-01-31,,,
1938,2020-02-03,,,
1939,2020-02-04,,,
1940,2020-02-05,,,
1941,2020-02-06,,,
1942,2020-02-07,,,
1943,2020-02-10,,,
1944,2020-02-11,,,
1945,2020-02-12,,,
1946,2020-02-13,,,
1947,2020-02-14,,,
1948,2020-02-18,,,
1949,2020-02-19,,,
1950,2020-02-20,,,
1951,2020-02-21,,,
1952,2020-02-24,,,
1953,2020-02-25,,,
1954,2020-02-26,,,
1955,2020-02-27,,,
1956,2020-02-28,,,
1957,2020-03-02,,,
1958,2020-03-03,,,
1959,2020-03-04,,,
1960,2020-03-05,,,
1961,2020-03-06,,,
1962,2020-03-09,,,
1963,2020-03-10,,,
1964,2020-03-11,,,
1965,2020-03-12,,,
1966,2020-03-13,,,
1967,2020-03-16,,,
1968,2020-03-17,,,
1969,2020-03-18,,,
1970,2020-03-19,,,
1971,2020-03-20,,,
1972,2020-03-23,,,
1973,2020-03-24,,,
1974,2020-03-25,,,
1975,2020-03-26,,,
1976,2020-03-27,,,
1977,2020-03-30,,,
1978,2020-03-31,,,
1979,2020-04-01,,,
1980,2020-04-02,,,
1981,2020-04-03,,,
1982,2020-04-06,,,
1983,2020-04-07,,,
1984,2020-04-08,,,
1985,2020-04-09,,,
1986,2020-04-13,,,
1987,2020-04-14,,,
1988,2020-04-15,,,
1989,2020-04-16,,,
1990,2020-04-17,,,
1991,2020-04-20,,,
1992,2020-04-21,,,
1993,2020-04-22,,,
1994,2020-04-23,,,
1995,2020-04-24,,,
1996,2020-04-27,,,
1997,2020-04-28,,,
1998,2020-04-29,,,
1999,2020-04-30,,,
2000,2020-05-01,,,
2001,2020-05-04,,,
2002,2020-05-05,,,
2003,2020-05-06,,,
2004,2020-05-07,,,
2005,2020-05-08,,,
2006,2020-05-11,,,
2007,2020-05-12,,,
2008,2020-05-13,,,
2009,2020-05-14,,,
2010,2020-05-15,,,
2011,2020-05-18,,,
2012,2020-05-19,,,
2013,2020-05-20,,,
2014,2020-05-21,,,
2015,2020-05-22,,,
2016,2020-05-26,,,
2017,2020-05-27,,,
2018,2020-05-28,,,
2019,2020-05-29,,,
2020,2020-06-01,,,
2021,2020-06-02,,,
2022,2020-06-03,,,
2023,2020-06-04,,,
2024,2020-06-05,,,
2025,2020-06-08,,,
2026,2020-06-09,,,
2027,2020-06-10,,,
2028,2020-06-11,,,
2029,2020-06-12,,,
2030,2020-06-15,,,
2031,2020-06-16,,,
2032,2020-06-17,,,
2033,2020-06-18,,,
2034,2020-06-19,,,
2035,2020-06-22,,,
2036,2020-06-23,,,
2037,2020-06-24,,,
2038,2020-06-25,,,
2039,2020-06-26,,,
2040,2020-06-29,,,
2041,2020-06-30,,,
2042,2020-07-01,,,
2043,2020-07-02,,,
2044,2020-07-06,,,
2045,2020-07-07,,,
2046,2020-07-08,,,
2047,2020-07-09,,,
2048,2020-07-10,,,
2049,2020-07-13,,,
2050,2020-07-14,,,
2051,2020-07-15,,,
2052,2020-07-16,,,
2053,2020-07-17,,,
2054,2020-07-20,,,
2055,2020-07-21,,,
2056,2020-07-22,,,
2057,2020-07-23,,,
2058,2020-07-24,,,
2059,2020-07-27,,,
2060,2020-07-28,,,
2061,2020-07-29,,,
2062,2020-07-30,,,
2063,2020-07-31,,,
2064,2020-08-03,,,
2065,2020-08-04,,,
2066,2020-08-05,,,
2067,2020-08-06,,,
2068,2020-08-07,,,
2069,2020-08-10,,,
2070,2020-08-11,,,
2071,2020-08-12,,,
2072,2020-08-13,,,
2073,2020-08-14,,,
2074,2020-08-17,,,
2075,2020-08-18,,,
2076,2020-08-19,,,
2077,2020-08-20,,,
2078,2020-08-21,,,
2079,2020-08-24,,,
2080,2020-08-25,,,
2081,2020-08-26,,,
2082,2020-08-27,,,
2083,2020-08-28,,,
2084,2020-08-31,,,
2085,2020-09-01,,,
2086,2020-09-02,,,
2087,2020-09-03,,,
2088,2020-09-04,,,
2089,2020-09-08,,,
2090,2020-09-09,,,
2091,2020-09-10,,,
2092,2020-09-11,,,
2093,2020-09-14,,,
2094,2020-09-15,,,
2095,2020-09-16,,,
2096,2020-09-17,,,
2097,2020-09-18,,,
2098,2020-09-21,,,
2099,2020-09-22,,,
2100,2020-09-23,,,
2101,2020-09-24,,,
2102,2020-09-25,,,
2103,2020-09-28,,,
2104,2020-09-29,,,
2105,2020-09-30,,,
2106,2020-10-01,,,
2107,2020-10-02,,,
2108,2020-10-05,,,
2109,2020-10-06,,,
2110,2020-10-07,,,
2111,2020-10-08,,,
2112,2020-10-09,,,
2113,2020-10-12,,,
2114,2020-10-13,,,
2115,2020-10-14,,,
2116,2020-10-15,,,
2117,2020-10-16,,,
2118,2020-10-19,,,
2119,2020-10-20,,,
2120,2020-10-21,,,
2121,2020-10-22,,,
2122,2020-10-23,,,
2123,2020-10-26,,,
2124,2020-10-27,,,
2125,2020-10-28,,,
2126,2020-10-29,,,
2127,2020-10-30,,,
2128,2020-11-02,,,
2129,2020-11-03,,,
2130,2020-11-04,,,
2131,2020-11-05,,,
2132,2020-11-06,,,
2133,2020-11-09,,,
2134,2020-11-10,,,
2135,2020-11-11,,,
2136,2020-11-12,,,
2137,2020-11-13,,,
2138,2020-11-16,,,
2139,2020-11-17,,,
2140,2020-11-18,,,
2141,2020-11-19,,,
2142,2020-11-20,,,
2143,2020-11-23,,,
2144,2020-11-24,,,
2145,2020-11-25,,,
2146,2020-11-27,,,
2147,2020-11-30,,,
2148,2020-12-01,,,
2149,2020-12-02,,,
2150,2020-12-03,,,
2151,2020-12-04,,,
2152,2020-12-07,,,
2153,2020-12-08,,,
2154,2020-12-09,,,
2155,2020-12-10,,,
2156,2020-12-11,,,
2157,2020-12-14,,,
2158,2020-12-15,,,
2159,2020-12-16,,,
2160,2020-12-17,,,
2161,2020-12-18,,,
2162,2020-12-21,,,
2163,2020-12-22,,,
2164,2020-12-23,,,
2165,2020-12-24,,,
2166,2020-12-28,,,
2167,2020-12-29,,,
2168,2020-12-30,,,
2169,2020-12-31,,,
2170,2021-01-04,,,
2171,2021-01-05,,,
2172,2021-01-06,,,
2173,2021-01-07,,,
2174,2021-01-08,,,
2175,2021-01-11,,,
2176,2021-01-12,,,
2177,2021-01-13,,,
2178,2021-01-14,,,
2179,2021-01-15,,,
2180,2021-01-19,,,
2181,2021-01-20,,,
2182,2021-01-21,,,
2183,2021-01-22,,,
2184,2021-01-25,,,
2185,2021-01-26,,,
2186,2021-01-27,,,
2187,2021-01-28,,,
2188,2021-01-29,,,
2189,2021-02-01,,,
2190,2021-02-02,,,
2191,2021-02-03,,,
2192,2021-02-04,,,
2193,2021-02-05,,,
2194,2021-02-08,,,
2195,2021-02-09,,,
2196,2021-02-10,,,
2197,2021-02-11,,,
2198,2021-02-12,,,
2199,2021-02-16,,,
2200,2021-02-17,,,
2201,2021-02-18,,,
2202,2021-02-19,,,
2203,2021-02-22,,,
2204,2021-02-23,,,
2205,2021-02-24,,,
2206,2021-02-25,,,
2207,2021-02-26,,,
2208,2021-03-01,,,
