,ds,Positive,Negative,Neutral
818,2015-08-20,,,
819,2015-08-21,,,
820,2015-08-24,,,
821,2015-08-25,,,
822,2015-08-26,,,
823,2015-08-27,,,
824,2015-08-28,,,
825,2015-08-31,,,
826,2015-09-01,,,
827,2015-09-02,,,
828,2015-09-03,,,
829,2015-09-04,,,
830,2015-09-08,,,
831,2015-09-09,,,
832,2015-09-10,,,
833,2015-09-11,,,
834,2015-09-14,,,
835,2015-09-15,,,
836,2015-09-16,,,
837,2015-09-17,,,
838,2015-09-18,,,
839,2015-09-21,,,
840,2015-09-22,,,
841,2015-09-23,,,
842,2015-09-24,,,
843,2015-09-25,,,
844,2015-09-28,,,
845,2015-09-29,,,
846,2015-09-30,,,
847,2015-10-01,,,
848,2015-10-02,,,
849,2015-10-05,,,
850,2015-10-06,,,
851,2015-10-07,,,
852,2015-10-08,,,
853,2015-10-09,,,
854,2015-10-12,,,
855,2015-10-13,,,
856,2015-10-14,,,
857,2015-10-15,,,
858,2015-10-16,,,
859,2015-10-19,,,
860,2015-10-20,,,
861,2015-10-21,,,
862,2015-10-22,,,
863,2015-10-23,,,
864,2015-10-26,,,
865,2015-10-27,,,
866,2015-10-28,,,
867,2015-10-29,,,
868,2015-10-30,,,
869,2015-11-02,,,
870,2015-11-03,,,
871,2015-11-04,,,
872,2015-11-05,,,
873,2015-11-06,,,
874,2015-11-09,,,
875,2015-11-10,,,
876,2015-11-11,,,
877,2015-11-12,,,
878,2015-11-13,,,
879,2015-11-16,,,
880,2015-11-17,,,
881,2015-11-18,,,
882,2015-11-19,,,
883,2015-11-20,,,
884,2015-11-23,,,
885,2015-11-24,,,
886,2015-11-25,,,
887,2015-11-27,,,
888,2015-11-30,,,
889,2015-12-01,,,
890,2015-12-02,,,
891,2015-12-03,,,
892,2015-12-04,,,
893,2015-12-07,,,
894,2015-12-08,,,
895,2015-12-09,,,
896,2015-12-10,,,
897,2015-12-11,,,
898,2015-12-14,,,
899,2015-12-15,,,
900,2015-12-16,,,
901,2015-12-17,,,
902,2015-12-18,,,
903,2015-12-21,,,
904,2015-12-22,,,
905,2015-12-23,,,
906,2015-12-24,,,
907,2015-12-28,,,
908,2015-12-29,,,
909,2015-12-30,,,
910,2015-12-31,,,
911,2016-01-04,,,
912,2016-01-05,,,
913,2016-01-06,,,
914,2016-01-07,,,
915,2016-01-08,,,
916,2016-01-11,,,
917,2016-01-12,,,
918,2016-01-13,,,
919,2016-01-14,,,
920,2016-01-15,,,
921,2016-01-19,,,
922,2016-01-20,,,
923,2016-01-21,,,
924,2016-01-22,,,
925,2016-01-25,,,
926,2016-01-26,,,
927,2016-01-27,,,
928,2016-01-28,,,
929,2016-01-29,,,
930,2016-02-01,,,
931,2016-02-02,,,
932,2016-02-03,,,
933,2016-02-04,,,
934,2016-02-05,,,
935,2016-02-08,,,
936,2016-02-09,,,
937,2016-02-10,,,
938,2016-02-11,,,
939,2016-02-12,,,
940,2016-02-16,,,
941,2016-02-17,,,
942,2016-02-18,,,
943,2016-02-19,,,
944,2016-02-22,,,
945,2016-02-23,,,
946,2016-02-24,,,
947,2016-02-25,,,
948,2016-02-26,,,
949,2016-02-29,,,
950,2016-03-01,,,
951,2016-03-02,,,
952,2016-03-03,,,
953,2016-03-04,,,
954,2016-03-07,,,
955,2016-03-08,,,
956,2016-03-09,,,
957,2016-03-10,,,
958,2016-03-11,,,
959,2016-03-14,,,
960,2016-03-15,,,
961,2016-03-16,,,
962,2016-03-17,,,
963,2016-03-18,,,
964,2016-03-21,,,
965,2016-03-22,,,
966,2016-03-23,,,
967,2016-03-24,,,
968,2016-03-28,,,
969,2016-03-29,,,
970,2016-03-30,,,
971,2016-03-31,,,
972,2016-04-01,,,
973,2016-04-04,,,
974,2016-04-05,,,
